"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0497695784152152,0.389629550621762,0.203470943110576,0.0748101269795798,0.315994703781912,0.920845718125171,0.769844354713267,0.0711001171240798,0.0501151140721132,0.0304438814567592,0.0139583237878964,0.0416699903540579,0.00558216293859004,0.0019742802060474,0.0889682278868719,0.0115514299808966,0.0126141177393134,0.0309023786436874,0.156322065939097,0.0272745769333366,0.322562408720208,0.0762008104876847,0.0515256464951638
"SBS96B",0.0696180320471477,0.212599430976469,0.357834403694186,0.147626179295478,0.42012937473967,0.588420596665866,0.972281150432859,0.0840518605957131,0.121860432838735,0.0582224444488533,0.0109979049355801,0.0838685649080066,0.0270082333779167,0.00408913291351232,0.107189523025314,0.023980052315537,0.0122557560936739,0.0542641473350669,0.435556313897134,0.0361301850496366,0.397058177018551,0.107877016888931,0.0970479921832585
"SBS96C",0.0208295844253298,0.983554256193933,0.0833721146987785,0.0377589909274786,0.227563016181728,0.666879952368016,0.180738214072665,0.0600993334941423,0.0508793782359118,0.0358187633054018,0.015356866844069,0.0489048234441395,0.00184960987119354,0.000934190422958392,0.0634717219651475,0.00703911468109775,0.0116363013975682,0.0405873058760609,0.0357227927106748,0.0218880352824388,0.310055992351886,0.0836315256766749,0.0151528561449205
"SBS96D",0.0223808493107338,0.0318334295992011,0.577340600265385,0.97851038297833,0.320163703249822,0.0701920087357879,0.131138034367635,0.083251683433643,0.0646689018116242,0.0877309124300535,0.0781924975515154,0.134862646753014,0.0238290962947119,0.00894237491698702,0.671655140360075,0.125068830352694,0.0163517725445109,0.735088430142493,0.603070850038066,0.738564236269313,0.558493791086901,0.0899925752163896,0.32494549937089
"SBS96E",0.373777071005388,0.0398952256092784,0.576601966556126,0.229080373095679,0.808542068423223,0.111275536759904,0.220394349588264,0.125665367364258,0.189776572726458,0.401858038188168,0.0643298392239645,0.33040781688121,0.10027736680542,0.0435274070767003,0.26509228740499,0.122678718594179,0.0584994480561573,0.250375868537647,0.208636505543611,0.0542287072933918,0.558682572704942,0.317372658065717,0.683602987247702
"SBS96F",0.0821393262271826,0.0141649930484735,0.918497522182812,0.556068821840492,0.624269837585452,0.0969087022589468,0.254779612950646,0.150230273910871,0.128867760483693,0.269468329710804,0.276224184946856,0.301154843593836,0.0802819672756182,0.0382003986239124,0.3539627165884,0.159193012997922,0.0655874538088353,0.411203319185094,0.5254090429626,0.302412800274201,0.7289958221614,0.307631039157916,0.340234509854999
"SBS96G",0.062302626298724,0.362238456846477,0.720368039019398,0.526402508087407,0.749364700368855,0.383328607999993,0.35907487418068,0.29180107915245,0.204115420413308,0.3348153388029,0.171481070801672,0.415501145182061,0.0812420569700686,0.0644625374703318,0.553687343021732,0.17140051683213,0.132077832969863,0.445923868985966,0.38733903002867,0.213186027589426,0.910852435297378,0.373977969208291,0.373012630400584
"SBS96H",0.170299123161749,0.023689356612025,0.478561438673043,0.351594726155313,0.604482379321495,0.0552521176573413,0.101226142655438,0.175769153534316,0.146264068846502,0.332745699587281,0.0378503537284305,0.212215047907063,0.0652838403573835,0.0178136017235169,0.25982404291693,0.0685488708773293,0.052167908737258,0.272482766209346,0.340719401617383,0.238443159146725,0.467099008419052,0.321826790857069,0.992718017791819
"SBS96I",0.0191641020813308,0.00124121591649962,0.103787296966539,0.0124772522677461,0.0955041145907629,0.00230798803427656,0.00551300126511722,0.037586499953123,0.0131473807050537,0.0124457215567726,0.00266190434025504,0.0267602428637019,0.0360690504255072,0.999237358302547,0.0329439442484711,0.0107522966990751,0.401632774619243,0.011879589595827,0.0299959590212684,0.021517878902109,0.178073890755946,0.15534245372298,0.0217450749490514
"SBS96J",0.992882017210079,0.0177307978086197,0.0552104935976949,0.0232593777269842,0.180288972730917,0.0401658633189367,0.0592769461165089,0.0233182565317459,0.0148716282690106,0.0195817344325271,0.00767740930186411,0.0283304764150829,0.00734899014360724,0.00340976428138751,0.116022016875428,0.0124017684755297,0.0173017121325632,0.153576145917123,0.0206731282309853,0.0208619094437563,0.0404741016005888,0.0928779332900259,0.197665915442806
"SBS96K",0.100094405295232,0.453295970393084,0.370868042276258,0.120178810123505,0.462717558904163,0.376891945876815,0.364513549894568,0.289417601201137,0.269370523410041,0.288055151025294,0.175224705418908,0.232488556542846,0.0541544633065143,0.0904667701149502,0.12682836013468,0.157795336760995,0.246299144879502,0.075770246998804,0.137421127567852,0.0458450870444548,0.496778921706163,0.70711875336365,0.241834753524496
"SBS96L",0.0576690873091256,0.023820822087818,0.35956627015706,0.671520271442325,0.276341912113691,0.0277200960989379,0.0398219857499186,0.0530802018713501,0.0546701632127978,0.0660555770869193,0.114003008282648,0.105226500538505,0.0279363207311886,0.0130202649680683,0.988978414145787,0.0385145197119956,0.0172508624344903,0.78753581160502,0.304029508040208,0.430433178039329,0.495231268293219,0.0983290571924658,0.180075085921361
"SBS96M",0.023701694584088,0.0535202447836248,0.48360511857377,0.121389740738065,0.675111540664528,0.0519877237519173,0.0955545285332907,0.211337578728229,0.384350137749376,0.969461862689197,0.0359939033657001,0.456141866378849,0.226399806157107,0.0173287450741647,0.0908933296611161,0.0915681026648891,0.0217164781819819,0.0888165784418347,0.0965746506853717,0.039516016764638,0.429641403386255,0.407017857840181,0.369391518524166
"SBS96N",0.0411459849237045,0.0209191204639826,0.416656973653483,0.140124148623155,0.673724402520648,0.0448890531465594,0.096376370975676,0.0620144379107507,0.139319839368129,0.55959040217188,0.101825088529073,0.977156021132331,0.104293680560716,0.0382114333704662,0.098934379827887,0.13600097329599,0.041035883447019,0.09231017001546,0.125090720218957,0.0401716523363584,0.420158396448811,0.226391552023902,0.253893561737304
"SBS96O",0.274004403059615,0.258885465371395,0.495826797696437,0.527788626920092,0.505769018214234,0.239524363409674,0.259333980765626,0.0990163429108382,0.13447379757802,0.174565518733631,0.147996500598566,0.214717989553226,0.0495738462576699,0.031631113164471,0.541247232944337,0.0752099907427729,0.0561088648103776,0.801304828995876,0.475297867346248,0.166329386718444,0.560907036948995,0.196288449315074,0.301963436118672
"SBS96P",0.023789817030458,0.0616091182353273,0.328923401026439,0.124547284706205,0.259249694257738,0.0927517833605019,0.099889114004998,0.998271283756164,0.197282346407942,0.216153428912885,0.0428155311362886,0.0939348938269798,0.142988156717897,0.0354668152745276,0.101494239390625,0.204348165646595,0.0830691378772401,0.0546867979043242,0.184206967371532,0.0439067496729569,0.374817530136019,0.553018519236077,0.19615911323745
"SBS96Q",0.0075178343310387,0.00236381570092703,0.248751526579325,0.0528937767434268,0.209534118947644,0.00756946684132787,0.0245642067527921,0.178489650082175,0.123811044841789,0.346696379489476,0.00602617926103521,0.0801904207551144,0.999746171543551,0.0510052001564979,0.030149687692802,0.0752228679725176,0.0259630542052601,0.0262628280760855,0.102811715483712,0.0167057510083962,0.198091931831874,0.095957438965836,0.0897080419198308
"SBS96R",0.0246949755333093,0.0996235654037017,0.313437083640561,0.0981916107969328,0.390236759045835,0.264356845805436,0.295842201474596,0.20687689084317,0.965805435172543,0.422388826773178,0.019232966669236,0.154622005991972,0.114793014075006,0.0168028216704562,0.100820458982143,0.0502770010935883,0.0226281325864996,0.0575761174499446,0.0775775831296417,0.0639285544770944,0.325596946951369,0.268728531985538,0.194826219699999
"SBS96S",0.00867774493529871,0.00747179251223684,0.287865628979263,0.102112761967479,0.155352065040969,0.00835625179012589,0.0109348211072743,0.0427546830373797,0.015884520130154,0.0230643010867809,0.998697716327366,0.0985121705871611,0.00632735088735359,0.00273130432394608,0.125253862086925,0.0131141273419325,0.00545027593128444,0.069449710062129,0.129754597490679,0.0271429396144105,0.296727769105313,0.260389238220014,0.0336615666317971
"SBS96T",0.0222203935449569,0.0128380304374093,0.355744184469953,0.306319414421181,0.226690822955922,0.0195096546593075,0.0455145461163698,0.178798568327295,0.0510674251593775,0.115656301180413,0.0310030216147016,0.167317453763328,0.091933155669923,0.0118081625368418,0.0882390849836818,0.98212080728011,0.0102056431099354,0.0710686378948978,0.516339563720129,0.0312126029025339,0.220832877218136,0.217633661326317,0.083720440001837
"SBS96U",0.0168765308752612,0.00411273262600331,0.155013933508307,0.0359206882314794,0.165189432882838,0.00701235914260334,0.019184337718772,0.0987538674738677,0.0319599317466297,0.0377166784391173,0.00997062315007968,0.0784274237885415,0.0303174175806066,0.258553193957983,0.0653497849912155,0.0227689276900179,0.981541720468986,0.0399105556252477,0.0483151506575312,0.0271510410971741,0.293031432829027,0.521412625602601,0.0771702130892612
