"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.920845718125171
"SBS96B","SBS7b",0.972281150432859
"SBS96C","SBS2",0.983554256193933
"SBS96D","SBS4",0.97851038297833
"SBS96F","SBS3",0.918497522182812
"SBS96G","SBS40",0.910852435297378
"SBS96H","SBS44",0.992718017791819
"SBS96I","SBS17b",0.999237358302547
"SBS96J","SBS1",0.992882017210079
"SBS96L","SBS18",0.988978414145787
"SBS96M","SBS12",0.969461862689197
"SBS96N","SBS16",0.977156021132331
"SBS96P","SBS7c",0.998271283756164
"SBS96Q","SBS17a",0.999746171543551
"SBS96R","SBS7d",0.965805435172543
"SBS96S","SBS13",0.998697716327366
"SBS96T","SBS22",0.98212080728011
"SBS96U","SBS28",0.981541720468986
