"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0502538109721737,0.396500858341154,0.204625128564441,0.0752750569559326,0.317146123957376,0.924244654434406,0.767560837365133,0.0722531479241275,0.0478314158321289,0.0306516517107173,0.0142136261279375,0.0412534605314815,0.00558886411595672,0.00194657364743156,0.0899593291584985,0.0117543888314305,0.0126753639509497,0.0313588580551682,0.159070196474522,0.0273213863232973,0.32479129840997,0.0764651870043745,0.0513850630973697
"SBS96B",0.0727524171762489,0.209419083542088,0.35901491036926,0.148266470468603,0.423441888045356,0.597014532018013,0.975419536670217,0.0842705950338675,0.121299801606703,0.0590358662539884,0.0112134580549659,0.0844900374254799,0.0280432188885354,0.00408545166202789,0.109079575359828,0.0240000944001006,0.0123704600239011,0.0556195723711262,0.433096454932782,0.0367901665028787,0.398306049707678,0.10731489567715,0.0991748540052048
"SBS96C",0.0207132294225087,0.988135683657307,0.085256844307362,0.0386115072792329,0.23091312003211,0.668627459880771,0.189281711638788,0.0604973483136255,0.055083021899636,0.0361641221840154,0.0151925734931507,0.0508197033204294,0.00197985205064,0.00100922577303286,0.0631916261976436,0.00717119669773092,0.0117372047626871,0.0407112127505475,0.0369259474390807,0.0221582130889136,0.313105386273823,0.0848715061068559,0.0158915842768195
"SBS96D",0.0227191023503587,0.0322861583992998,0.592306620811472,0.986340235744003,0.330777913462412,0.0696814263547965,0.1315220315312,0.0979596139424086,0.0649908308216125,0.0931552380319812,0.0768034282069984,0.143511893513078,0.0303157637213494,0.00835000163137023,0.676300447244113,0.161769182273822,0.0166684226955945,0.76876888556987,0.639404917898647,0.717139738857295,0.568106343715922,0.0960507299965341,0.325111278436637
"SBS96E",0.162805838381307,0.0424719299435503,0.5899890638366,0.222032477033093,0.897923959912314,0.0895913813206898,0.181588196913028,0.119221394506038,0.216074324505164,0.63784723110668,0.0421151654361738,0.772717868844339,0.14284451802989,0.043763311049831,0.207812372072783,0.152929890921158,0.0483265141328877,0.208865675228134,0.19269457131944,0.0486110601571966,0.585024166916704,0.312161830576753,0.564684214608894
"SBS96F",0.0705514715408254,0.0144166565329062,0.937180245313406,0.533871255161634,0.668405218267886,0.08292094792914,0.236659887301118,0.174227509224919,0.149639329813768,0.340716822458779,0.264901295815678,0.327971763228248,0.0998879305604049,0.047538316271266,0.341745435446587,0.219880494781423,0.106096608625077,0.398663044371725,0.528242228777934,0.265976773904913,0.744589901424195,0.361912034293221,0.368204371014634
"SBS96G",0.0754616250780377,0.318507782408443,0.773523077808944,0.55277676663183,0.795917026393628,0.33440513102772,0.335472042688611,0.242098915340205,0.198192268679225,0.373439903733204,0.188526395495936,0.486899831988348,0.0830173963682672,0.0541693406874888,0.564954069069431,0.167479164576204,0.118385218563776,0.496517445723048,0.416817264586395,0.218285665687928,0.922053976944552,0.359857014881636,0.398358804994523
"SBS96H",0.030509600752275,0.429869696642446,0.460239896934074,0.141148452493554,0.689668945736321,0.384354891817261,0.384960399404923,0.18215169809423,0.36130511289892,0.709659559977862,0.0697349265894025,0.498654675505532,0.132751300126738,0.0205501201678522,0.111039063261118,0.0926419203314378,0.050474388275572,0.108000074916287,0.136021762786079,0.0421734618772636,0.528384166220669,0.405337515883543,0.295473995664959
"SBS96I",0.169798128398677,0.0183186698136101,0.490964408793148,0.343669795390995,0.625356229566871,0.0506883619696451,0.102657022560847,0.183756997722022,0.183578920006435,0.354200677200361,0.0390761585005144,0.222332504880824,0.0760593103436278,0.0172994606181909,0.259794010235904,0.0701071766225732,0.0472721876178879,0.26857953448558,0.328482791890373,0.227062937280449,0.477408074405124,0.329136055237337,0.99398827900312
"SBS96J",0.999616080776795,0.0193926137691358,0.0562047880753258,0.0240107933616714,0.193362536594932,0.0452089670217505,0.0667352093872791,0.0242165354292048,0.0158170017109792,0.018938320998739,0.00814403386679718,0.0266287405602255,0.00773819877956916,0.00369632130464181,0.12248660778354,0.0129922853210251,0.0165762743671927,0.157592306605487,0.0218471398064304,0.0214498360334102,0.0427374376621666,0.102523718306952,0.213954488320901
"SBS96K",0.0184346415590473,0.00127305869896455,0.105285286907227,0.0126073280097143,0.0968454534507844,0.00233722425595129,0.00557098153811797,0.0383507951643313,0.0131382688093636,0.011544711677328,0.00270056496424242,0.0277413450614133,0.0333054161860518,0.999461048569425,0.0334319169517175,0.0106123289302328,0.415648130670107,0.0120310703241238,0.0305828157159399,0.0217616420237312,0.181865138794089,0.161012985505481,0.0222825772395231
"SBS96L",0.0592322467008755,0.0223682803369702,0.359652417343318,0.667181138349631,0.279153601233899,0.0271633164729264,0.0413347521303958,0.0485355421800864,0.0548128947794589,0.0660354097876216,0.11467210287312,0.106412292608709,0.0263198071278326,0.0154524607408035,0.9885517815855,0.0375320808099707,0.0179744861017977,0.798858564649249,0.304333566723173,0.417091804639634,0.495310218260025,0.0950411315685895,0.172130979085577
"SBS96M",0.0247100534094238,0.0629607334440203,0.334517361418621,0.121745189730495,0.266986892086726,0.0931370565008918,0.0991488197261232,0.995600184766166,0.206912000686932,0.227364671998439,0.0470307415120922,0.0989920489623206,0.136048247461343,0.0377652749525873,0.101302471538267,0.209640386158314,0.0890906396162363,0.0524917330292385,0.181739630299096,0.0414769682392344,0.380565139204061,0.586094411451129,0.204060794691815
"SBS96N",0.00813495947768128,0.00252735834265683,0.249648184210007,0.0531283206764129,0.211110606051691,0.00763562536716678,0.0247737093107463,0.179046358000026,0.125638970515575,0.348753445560267,0.00706155344431625,0.0810807515663777,0.999753577575311,0.0492463377889563,0.0310315517834024,0.0759487871295735,0.0244103781930827,0.0263542908516792,0.10290379103472,0.0166999571986214,0.198787168313269,0.0966949452281991,0.0908260108781399
"SBS96O",0.020787266089471,0.0923425808182365,0.310650751685268,0.0975906181425713,0.384535673501648,0.266652619083095,0.293689186962549,0.203899476932706,0.962457759026224,0.42011047010362,0.0192487313052848,0.151109822241851,0.113594264315657,0.0165571339784762,0.100583523411821,0.0490945901199443,0.0216477963637426,0.0566122295966168,0.0751696388661784,0.0642781245911891,0.321523819160969,0.263987973424658,0.192547790415587
"SBS96P",0.00815095470449445,0.00925768948475847,0.289256404141655,0.103622038397187,0.156718607323229,0.00830719784188949,0.0106016980803384,0.0428104236347737,0.0163669394133221,0.0233374485179993,0.998960457876294,0.0985265543675099,0.00642615597770424,0.00274190818897246,0.127146779335597,0.0133702041508912,0.00554306430853946,0.0705841431370966,0.129846280532394,0.0277000650528422,0.29860421062505,0.260503900552798,0.0349866367885062
"SBS96Q",0.0328948608722783,0.208423107858669,0.394212453533663,0.307427087691135,0.333873652293762,0.223088006564901,0.24316678391225,0.156208317476409,0.11539867710449,0.144158964597209,0.0412119405677643,0.20029661981367,0.0834110311091024,0.0175804487526452,0.115055172212221,0.908893760164987,0.0224712518295396,0.0770802690860468,0.487108588392483,0.0376174120374541,0.326171582729811,0.281476997569474,0.117125849052863
"SBS96R",0.0276473278927647,0.00870386509816712,0.171881130685411,0.0372626312767723,0.185766623381495,0.0107546809892569,0.0242188947716913,0.122005044559599,0.0479051919248791,0.0522681860983278,0.0119348600580277,0.0887881862515726,0.0227528198729324,0.278190757932671,0.0698652990217437,0.0460394260105693,0.97621476253084,0.0364084731667824,0.0492418464097423,0.0308727116287508,0.310083062775537,0.589213692100549,0.0986057318506539
