"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.924244654434406
"SBS96B","SBS7b",0.975419536670217
"SBS96C","SBS2",0.988135683657307
"SBS96D","SBS4",0.986340235744003
"SBS96F","SBS3",0.937180245313406
"SBS96G","SBS40",0.922053976944552
"SBS96I","SBS44",0.99398827900312
"SBS96J","SBS1",0.999616080776795
"SBS96K","SBS17b",0.999461048569425
"SBS96L","SBS18",0.9885517815855
"SBS96M","SBS7c",0.995600184766166
"SBS96N","SBS17a",0.999753577575311
"SBS96O","SBS7d",0.962457759026224
"SBS96P","SBS13",0.998960457876294
"SBS96Q","SBS22",0.908893760164987
"SBS96R","SBS28",0.97621476253084
